1,Non-drought
2,Mild Drought
3,Mild Drought
4,Mild Drought
5,Moderate Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Mild Drought
2,Mild Drought
3,Moderate Drought
4,Moderate Drought
5,Severe Drought
6,Severe Drought
7,Severe Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Severe Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Moderate Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Mild Drought
11,Mild Drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Moderate Drought
5,Severe Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Moderate Drought
4,Mild Drought
5,Severe Drought
6,Severe Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Mild Drought
5,Mild Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Moderate Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Mild Drought
5,Severe Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Severe Drought
7,Severe Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Moderate Drought
5,Moderate Drought
6,Mild Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Moderate Drought
5,Moderate Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Severe Drought
6,Severe Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Severe Drought
6,Severe Drought
7,Severe Drought
8,Moderate Drought
9,Mild Drought
10,Mild Drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Severe Drought
5,Severe Drought
6,Mild Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Severe Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Moderate Drought
5,Severe Drought
6,Severe Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Moderate Drought
4,Severe Drought
5,Severe Drought
6,Severe Drought
7,Severe Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Mild Drought
1,Mild Drought
2,Mild Drought
3,Severe Drought
4,Severe Drought
5,Severe Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Severe Drought
6,Moderate Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Mild Drought
2,Mild Drought
3,Mild Drought
4,Severe Drought
5,Severe Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Non-drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Moderate Drought
5,Moderate Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Mild Drought
2,Mild Drought
3,Mild Drought
4,Moderate Drought
5,Severe Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Mild Drought
5,Moderate Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Moderate Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Severe Drought
7,Severe Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Non-drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Severe Drought
5,Severe Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Non-drought
6,Mild Drought
7,Non-drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Mild Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Mild Drought
5,Moderate Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Mild Drought
4,Moderate Drought
5,Moderate Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Mild Drought
6,Severe Drought
7,Moderate Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Non-drought
5,Non-drought
6,Mild Drought
7,Mild Drought
8,Mild Drought
9,Mild Drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Non-drought
3,Non-drought
4,Mild Drought
5,Severe Drought
6,Moderate Drought
7,Mild Drought
8,Mild Drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
1,Non-drought
2,Mild Drought
3,Mild Drought
4,Severe Drought
5,Mild Drought
6,Mild Drought
7,Mild Drought
8,Non-drought
9,Non-drought
10,Non-drought
11,Non-drought
12,Non-drought
